City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
339,beloha,68,MG,1552351927,87,-25.17,45.06,73.44,14.81
340,piney green,90,US,1552351926,58,35.09,-78.48,62.6,3.62
341,isangel,40,VU,1552348800,74,-19.55,169.27,86.0,9.17
342,melilla,40,EC,1552348800,70,-0.8,-80.23,84.2,6.93
343,concordia,92,AR,1552351012,87,-31.4,-58.02,69.01,4.0
344,kloulklubed,75,PW,1552348200,78,7.04,134.26,80.6,9.17
345,bereda,24,ES,1552351804,100,43.27,-7.54,46.99,5.82
346,ancud,0,CL,1552348800,82,-41.87,-73.83,55.4,2.24
347,prince rupert,75,CA,1552348800,81,54.32,-130.32,42.8,2.24
348,pekan,75,MY,1552348800,94,3.49,103.39,75.2,2.24
349,okhotsk,8,RU,1552351725,90,59.36,143.24,11.29,4.18
350,povorino,92,RU,1552350802,96,51.2,42.24,37.0,10.0
351,honiara,12,SB,1552351882,77,-9.43,159.96,84.19,3.85
352,saint anthony,1,US,1552351904,47,43.97,-111.68,39.2,6.93
353,miquelon,92,PM,1552351928,82,47.1,-56.38,36.76,34.61
354,meiganga,12,CM,1552351806,38,6.52,14.29,68.62,4.41
355,rincon,90,US,1552351800,63,32.3,-81.24,66.2,11.41
356,jiangyou,12,CN,1552351768,86,31.78,104.73,41.49,2.62
357,guder,0,ET,1552351928,70,8.97,37.77,47.52,2.51
358,torbay,90,CA,1552351632,89,47.66,-52.73,33.01,32.21
359,wenling,0,CN,1552351770,96,28.38,121.38,55.99,1.95
360,wanning,88,AT,1552351924,96,48.64,13.53,35.01,3.0
361,taltal,0,CL,1552351929,80,-25.41,-70.49,60.61,2.28
362,kirakira,8,SB,1552351929,100,-10.46,161.92,83.61,11.23
363,richards bay,88,ZA,1552351710,100,-28.77,32.06,69.61,2.62
364,udachnyy,48,RU,1552351929,81,66.42,112.4,4.72,3.18
365,adolfo lopez mateos,92,MX,1552351622,71,26.8,-109.39,69.01,3.0
366,agadez,24,NE,1552351929,24,16.97,7.99,70.51,7.43
367,tsabong,0,BW,1552351929,90,-26.02,22.4,61.29,8.1
368,brae,76,GB,1552348200,70,60.4,-1.35,44.6,25.28
369,saint-augustin,0,FR,1552351547,86,44.83,-0.61,41.0,4.7
370,valdez,75,US,1552348560,86,61.13,-146.35,37.4,2.06
371,oktyabrskoye,90,RU,1552351822,92,56.73,85.44,24.01,13.42
372,bulgan,0,MN,1552351930,58,48.81,103.53,5.17,2.62
373,sitka,76,US,1552351568,79,37.17,-99.65,48.99,11.01
374,hommelvik,75,NO,1552351815,86,63.41,10.8,30.2,4.7
375,shimanovsk,64,RU,1552351930,82,52.0,127.67,20.47,4.63
376,quang ngai,92,VN,1552351931,98,15.12,108.8,70.6,2.39
377,sturgeon falls,90,CA,1552351816,100,46.36,-79.93,28.0,16.11
378,maniitsoq,44,GL,1552351931,76,65.42,-52.9,4.63,2.62
379,colquechaca,20,BO,1552351931,81,-18.7,-66.0,49.72,1.95
380,kenai,20,US,1552351925,69,60.55,-151.26,39.2,23.04
381,celina,1,US,1552352100,74,40.55,-84.57,37.99,3.36
